kalimat,label
keluar duit 50.000,pengeluaran
duit masuk 1 juta,pemasukan
ditransfer 250.000,pemasukan
pemasukan uang 100k dari trading,pemasukan
100k buat token listrik,pengeluaran
5000 dari kerja part-time sebagai terima,pemasukan
20rb buat jajanan,pengeluaran
bayar pulsa 5.000.000,pengeluaran
100k dari bos sebagai dapat,pemasukan
komisi uang 1 juta dari jualan online,pemasukan
20rb buat token listrik,pengeluaran
5.000.000 buat sepatu,pengeluaran
20rb buat parkir,pengeluaran
duit masuk 250.000,pemasukan
pendapatan 750 ribu,pemasukan
250.000 dari donatur sebagai ditransfer,pemasukan
duit masuk 250.000,pemasukan
terima uang 5000 dari event,pemasukan
duit masuk 250.000,pemasukan
trading hasil jual 2jt,pemasukan
orang tua komisi 5000,pemasukan
menjual 50.000,pemasukan
bonus uang 1 juta dari toko,pemasukan
pemasukan 5.000.000,pemasukan
hasil jual uang 1 juta dari teman,pemasukan
10 ribu untuk keluar uang listrik,pengeluaran
250.000 untuk tarik tunai baju,pengeluaran
100k untuk beli ayam geprek,pengeluaran
1 juta untuk keluar uang komputer,pengeluaran
5000 untuk biaya tas,pengeluaran
250.000 dari teman sebagai dikasih,pemasukan
donasi masuk uang 2jt dari freelance,pemasukan
750 ribu buat komputer,pengeluaran
refund 1 juta,pemasukan
750 ribu buat motor,pengeluaran
keluar duit 20rb,pengeluaran
refund 250.000,pemasukan
biaya wifi 750 ribu,pengeluaran
membayar 2jt,pengeluaran
50.000 buat listrik,pengeluaran
5000 untuk tarik tunai mobil,pengeluaran
keluar duit 2jt,pengeluaran
transfer 10 ribu,pengeluaran
keluar duit 5.000.000,pengeluaran
duit masuk 10 ribu,pemasukan
5.000.000 dari klien sebagai dapat,pemasukan
bonus 5000,pemasukan
750 ribu dari investasi sebagai bonus,pemasukan
habis untuk 2jt,pengeluaran
trading pemasukan 2jt,pemasukan
10 ribu buat parkir,pengeluaran
event ditransfer 5000,pemasukan
keluar duit 100k,pengeluaran
keluar duit 5000,pengeluaran
tarik tunai 1 juta,pengeluaran
keluar duit 5000,pengeluaran
5.000.000 buat parkir,pengeluaran
bos bonus 50.000,pemasukan
hasil jual uang 5000 dari endorse,pemasukan
hasil jual uang 5.000.000 dari konten youtube,pemasukan
duit masuk 100k,pemasukan
50.000 untuk membayar komputer,pengeluaran
bonus uang 2jt dari orang tua,pemasukan
100k buat tas,pengeluaran
uang kembali uang 100k dari donatur,pemasukan
2jt dari freelance sebagai menjual,pemasukan
sumbangan 20rb,pengeluaran
5000 buat mobil,pengeluaran
5000 dari donatur sebagai menerima,pemasukan
hasil jual uang 5.000.000 dari bos,pemasukan
duit masuk 750 ribu,pemasukan
sumbangan es kopi 10 ribu,pengeluaran
10 ribu dari teman sebagai menerima,pemasukan
20rb dari jualan online sebagai komisi,pemasukan
duit masuk 5.000.000,pemasukan
2jt buat sepatu,pengeluaran
keluar duit 20rb,pengeluaran
membayar token listrik 100k,pengeluaran
endorse bonus 10 ribu,pemasukan
transfer masuk uang 20rb dari investasi,pemasukan
100k untuk isi saldo token listrik,pengeluaran
250.000 untuk bayar pulsa,pengeluaran
10 ribu buat token listrik,pengeluaran
5000 dari investasi sebagai dapat,pemasukan
duit masuk 1 juta,pemasukan
dapat 2jt,pemasukan
20rb untuk tarik tunai game online,pengeluaran
dapat uang 5.000.000 dari proyek,pemasukan
duit masuk 1 juta,pemasukan
keluar duit 2jt,pengeluaran
uang kembali uang 5.000.000 dari donatur,pemasukan
1 juta buat ayam geprek,pengeluaran
keluar duit 10 ribu,pengeluaran
duit masuk 100k,pemasukan
10 ribu buat buku,pengeluaran
5000 untuk kirim komputer,pengeluaran
duit masuk 50.000,pemasukan
investasi donasi masuk 5000,pemasukan
transfer masuk 250.000,pemasukan
keluar uang sepatu 5.000.000,pengeluaran
hadiah 50.000,pemasukan
pemasukan uang 100k dari kerja part-time,pemasukan
750 ribu untuk beli sepatu,pengeluaran
duit masuk 5000,pemasukan
5000 untuk biaya listrik,pengeluaran
keluar duit 50.000,pengeluaran
bonus 5.000.000,pemasukan
narik uang 250.000,pengeluaran
250.000 untuk transfer mobil,pengeluaran
keluar uang 750 ribu,pengeluaran
komisi uang 750 ribu dari klien,pemasukan
1 juta buat listrik,pengeluaran
duit masuk 250.000,pemasukan
membeli 100k,pengeluaran
750 ribu dari freelance sebagai ditransfer,pemasukan
kirim 5000,pengeluaran
1 juta untuk spend mobil,pengeluaran
750 ribu untuk ongkos motor,pengeluaran
proyek menerima 10 ribu,pemasukan
komisi uang 100k dari bos,pemasukan
2jt dari kerja part-time sebagai dapat,pemasukan
hasil jual uang 20rb dari klien,pemasukan
konten youtube menjual 20rb,pemasukan
1 juta dari bos sebagai pendapatan,pemasukan
isi saldo buku 750 ribu,pengeluaran
jualan online pendapatan 1 juta,pemasukan
duit masuk 5000,pemasukan
menerima 1 juta,pemasukan
ongkos token listrik 750 ribu,pengeluaran
freelance komisi 750 ribu,pemasukan
bonus uang 1 juta dari investasi,pemasukan
gaji uang 5.000.000 dari kerja part-time,pemasukan
5.000.000 dari konten youtube sebagai menang,pemasukan
5000 untuk membeli parkir,pengeluaran
duit masuk 1 juta,pemasukan
konten youtube transfer masuk 1 juta,pemasukan
jualan online transfer masuk 750 ribu,pemasukan
50.000 untuk kirim komputer,pengeluaran
toko refund 2jt,pemasukan
donasi keluar 1 juta,pengeluaran
250.000 buat baju,pengeluaran
keluar duit 5.000.000,pengeluaran
donasi keluar es kopi 750 ribu,pengeluaran
teman refund 10 ribu,pemasukan
duit masuk 20rb,pemasukan
narik uang game online 20rb,pengeluaran
dapat uang 250.000 dari toko,pemasukan
terima uang 2jt dari toko,pemasukan
konten youtube gaji 100k,pemasukan
bonus uang 10 ribu dari konten youtube,pemasukan
keluar duit 1 juta,pengeluaran
duit masuk 2jt,pemasukan
habis untuk 2jt,pengeluaran
50.000 untuk narik uang BBM,pengeluaran
duit masuk 5000,pemasukan
komisi uang 5.000.000 dari trading,pemasukan
transfer masuk uang 5.000.000 dari endorse,pemasukan
duit masuk 5.000.000,pemasukan
menang uang 10 ribu dari teman,pemasukan
keluar duit 50.000,pengeluaran
1 juta untuk transfer ayam geprek,pengeluaran
100k untuk isi saldo parkir,pengeluaran
pemasukan uang 5000 dari kerja part-time,pemasukan
pendapatan uang 20rb dari orang tua,pemasukan
duit masuk 750 ribu,pemasukan
duit masuk 100k,pemasukan
keluar duit 20rb,pengeluaran
hasil jual 2jt,pemasukan
50.000 dari konten youtube sebagai menerima,pemasukan
5000 dari freelance sebagai pendapatan,pemasukan
keluar duit 50.000,pengeluaran
duit masuk 5.000.000,pemasukan
bayar es kopi 1 juta,pengeluaran
komisi uang 100k dari orang tua,pemasukan
keluar duit 100k,pengeluaran
gaji uang 5.000.000 dari kerja part-time,pemasukan
donatur komisi 750 ribu,pemasukan
10 ribu untuk tarik tunai mobil,pengeluaran
spend buku 10 ribu,pengeluaran
menang uang 5.000.000 dari teman,pemasukan
keluar duit 10 ribu,pengeluaran
ongkos wifi 50.000,pengeluaran
keluar duit 1 juta,pengeluaran
biaya pulsa 1 juta,pengeluaran
duit masuk 1 juta,pemasukan
teman dapat 20rb,pemasukan
5000 untuk kirim parkir,pengeluaran
50.000 untuk isi saldo token listrik,pengeluaran
1 juta untuk spend komputer,pengeluaran
keluar duit 750 ribu,pengeluaran
hasil jual 100k,pemasukan
keluar duit 250.000,pengeluaran
keluar uang 5000,pengeluaran
donatur pendapatan 750 ribu,pemasukan
5.000.000 buat handphone,pengeluaran
gaji 50.000,pemasukan
keluar duit 750 ribu,pengeluaran
menang 20rb,pemasukan
keluar duit 250.000,pengeluaran
duit masuk 250.000,pemasukan
5000 untuk transfer sepatu,pengeluaran
2jt buat sepatu,pengeluaran
top up tas 750 ribu,pengeluaran
100k untuk beli game online,pengeluaran
duit masuk 2jt,pemasukan
5.000.000 dari klien sebagai menjual,pemasukan
750 ribu dari konten youtube sebagai refund,pemasukan
keluar duit 250.000,pengeluaran
750 ribu buat jajanan,pengeluaran
kerja part-time komisi 50.000,pemasukan
keluar uang baju 10 ribu,pengeluaran
duit masuk 250.000,pemasukan
habis untuk 10 ribu,pengeluaran
750 ribu untuk narik uang token listrik,pengeluaran
50.000 buat sepatu,pengeluaran
duit masuk 5.000.000,pemasukan
trading dikasih 20rb,pemasukan
5000 buat baju,pengeluaran
50.000 untuk bayar air,pengeluaran
investasi dikasih 750 ribu,pemasukan
duit masuk 250.000,pemasukan
20rb untuk sumbangan buku,pengeluaran
biaya air 5.000.000,pengeluaran
keluar duit 50.000,pengeluaran
membayar 750 ribu,pengeluaran
10 ribu untuk bayar pulsa,pengeluaran
pengeluaran baju 250.000,pengeluaran
keluar duit 10 ribu,pengeluaran
bonus 5.000.000,pemasukan
freelance donasi masuk 250.000,pemasukan
bos terima 10 ribu,pemasukan
jualan online komisi 1 juta,pemasukan
5000 dari trading sebagai menerima,pemasukan
10 ribu dari event sebagai dikasih,pemasukan
10 ribu untuk isi saldo listrik,pengeluaran
keluar duit 1 juta,pengeluaran
komisi 10 ribu,pemasukan
5000 untuk sumbangan handphone,pengeluaran
bayar 50.000,pengeluaran
750 ribu untuk transfer air,pengeluaran
menjual 5000,pemasukan
teman menerima 750 ribu,pemasukan
narik uang BBM 750 ribu,pengeluaran
duit masuk 10 ribu,pemasukan
donasi masuk uang 20rb dari jualan online,pemasukan
endorse donasi masuk 10 ribu,pemasukan
50.000 buat baju,pengeluaran
isi saldo 10 ribu,pengeluaran
duit masuk 5000,pemasukan
transfer masuk uang 10 ribu dari endorse,pemasukan
20rb buat es kopi,pengeluaran
100k dari investasi sebagai pemasukan,pemasukan
event hadiah 5000,pemasukan
gaji 5.000.000,pemasukan
teman ditransfer 1 juta,pemasukan
sumbangan mobil 1 juta,pengeluaran
tarik tunai 1 juta,pengeluaran
toko bonus 5.000.000,pemasukan
bonus 750 ribu,pemasukan
donatur komisi 2jt,pemasukan
narik uang es kopi 5000,pengeluaran
duit masuk 10 ribu,pemasukan
5.000.000 untuk membeli komputer,pengeluaran
bonus uang 5000 dari klien,pemasukan
1 juta buat motor,pengeluaran
keluar uang paket data 1 juta,pengeluaran
2jt dari bos sebagai ditransfer,pemasukan
250.000 dari trading sebagai komisi,pemasukan
dikasih 5000,pemasukan
donasi masuk 750 ribu,pemasukan
duit masuk 250.000,pemasukan
komisi 10 ribu,pemasukan
beli wifi 250.000,pengeluaran
donasi masuk uang 10 ribu dari trading,pemasukan
keluar duit 5.000.000,pengeluaran
1 juta dari proyek sebagai menang,pemasukan
keluar duit 250.000,pengeluaran
20rb dari orang tua sebagai pendapatan,pemasukan
duit masuk 2jt,pemasukan
250.000 buat ayam geprek,pengeluaran
20rb untuk ongkos es kopi,pengeluaran
keluar duit 100k,pengeluaran
refund uang 20rb dari investasi,pemasukan
20rb dari trading sebagai bonus,pemasukan
100k dari orang tua sebagai pemasukan,pemasukan
1 juta dari orang tua sebagai hadiah,pemasukan
narik uang pulsa 20rb,pengeluaran
keluar duit 20rb,pengeluaran
dapat uang 750 ribu dari donatur,pemasukan
20rb buat jajanan,pengeluaran
beli 5000,pengeluaran
tarik tunai 250.000,pengeluaran
pengeluaran 250.000,pengeluaran
5000 untuk top up es kopi,pengeluaran
50.000 untuk donasi keluar ayam geprek,pengeluaran
bonus uang 10 ribu dari bos,pemasukan
50.000 buat ayam geprek,pengeluaran
100k dari bos sebagai menerima,pemasukan
5000 buat buku,pengeluaran
keluar duit 5.000.000,pengeluaran
dikasih uang 1 juta dari freelance,pemasukan
menerima 10 ribu,pemasukan
duit masuk 20rb,pemasukan
biaya 50.000,pengeluaran
sumbangan mobil 100k,pengeluaran
keluar duit 750 ribu,pengeluaran
keluar duit 1 juta,pengeluaran
100k dari investasi sebagai menjual,pemasukan
terima uang 2jt dari orang tua,pemasukan
event pendapatan 5.000.000,pemasukan
kerja part-time menerima 100k,pemasukan
transfer token listrik 10 ribu,pengeluaran
10 ribu dari toko sebagai gaji,pemasukan
pendapatan uang 100k dari endorse,pemasukan
5.000.000 dari jualan online sebagai refund,pemasukan
50.000 untuk tarik tunai tas,pengeluaran
spend wifi 2jt,pengeluaran
10 ribu buat jajanan,pengeluaran
uang kembali uang 20rb dari investasi,pemasukan
keluar duit 10 ribu,pengeluaran
duit masuk 20rb,pemasukan
5.000.000 dari klien sebagai menjual,pemasukan
20rb buat mobil,pengeluaran
duit masuk 2jt,pemasukan
transfer 100k,pengeluaran
gaji uang 5.000.000 dari kerja part-time,pemasukan
toko gaji 5000,pemasukan
narik uang 5.000.000,pengeluaran
endorse hadiah 20rb,pemasukan
250.000 buat nasi goreng,pengeluaran
donatur hadiah 1 juta,pemasukan
bayar handphone 5000,pengeluaran
keluar duit 750 ribu,pengeluaran
duit masuk 100k,pemasukan
kerja part-time pendapatan 250.000,pemasukan
250.000 untuk biaya game online,pengeluaran
ongkos BBM 1 juta,pengeluaran
terima uang 100k dari konten youtube,pemasukan
kerja part-time gaji 5000,pemasukan
20rb untuk top up buku,pengeluaran
gaji uang 5000 dari bos,pemasukan
keluar duit 5.000.000,pengeluaran
teman donasi masuk 50.000,pemasukan
menerima 10 ribu,pemasukan
2jt dari toko sebagai pendapatan,pemasukan
menerima 2jt,pemasukan
5000 untuk narik uang paket data,pengeluaran
ditransfer uang 10 ribu dari kerja part-time,pemasukan
kirim 5000,pengeluaran
50.000 untuk pengeluaran game online,pengeluaran
menang 20rb,pemasukan
toko hadiah 10 ribu,pemasukan
50.000 buat pulsa,pengeluaran
endorse hasil jual 20rb,pemasukan
bayar game online 250.000,pengeluaran
duit masuk 50.000,pemasukan
menjual uang 20rb dari teman,pemasukan
2jt buat nasi goreng,pengeluaran
250.000 buat handphone,pengeluaran
event menerima 50.000,pemasukan
keluar duit 5000,pengeluaran
isi saldo ayam geprek 250.000,pengeluaran
duit masuk 100k,pemasukan
2jt buat handphone,pengeluaran
1 juta buat air,pengeluaran
50.000 dari trading sebagai komisi,pemasukan
beli 10 ribu,pengeluaran
ditransfer 10 ribu,pemasukan
duit masuk 5.000.000,pemasukan
1 juta dari proyek sebagai gaji,pemasukan
kirim 250.000,pengeluaran
duit masuk 750 ribu,pemasukan
2jt dari endorse sebagai komisi,pemasukan
50.000 dari toko sebagai donasi masuk,pemasukan
1 juta buat pulsa,pengeluaran
membayar 10 ribu,pengeluaran
ongkos 20rb,pengeluaran
duit masuk 5.000.000,pemasukan
5.000.000 untuk membeli parkir,pengeluaran
narik uang 2jt,pengeluaran
top up 750 ribu,pengeluaran
keluar duit 100k,pengeluaran
keluar duit 1 juta,pengeluaran
keluar duit 100k,pengeluaran
isi saldo 5000,pengeluaran
duit masuk 5.000.000,pemasukan
investasi menerima 100k,pemasukan
20rb buat parkir,pengeluaran
komisi 2jt,pemasukan
keluar duit 5000,pengeluaran
habis untuk 5000,pengeluaran
jualan online terima 1 juta,pemasukan
20rb buat air,pengeluaran
tarik tunai wifi 250.000,pengeluaran
sumbangan 5.000.000,pengeluaran
5000 buat jajanan,pengeluaran
5.000.000 buat parkir,pengeluaran
50.000 buat es kopi,pengeluaran
freelance refund 750 ribu,pemasukan
duit masuk 20rb,pemasukan
pendapatan 2jt,pemasukan
jualan online menang 1 juta,pemasukan
isi saldo 250.000,pengeluaran
keluar duit 5.000.000,pengeluaran
50.000 untuk membeli listrik,pengeluaran
ongkos token listrik 2jt,pengeluaran
bos uang kembali 750 ribu,pemasukan
5.000.000 untuk biaya pulsa,pengeluaran
menjual uang 1 juta dari teman,pemasukan
habis untuk game online 1 juta,pengeluaran
bonus uang 50.000 dari trading,pemasukan
5.000.000 untuk kirim parkir,pengeluaran
duit masuk 2jt,pemasukan
keluar duit 750 ribu,pengeluaran
keluar uang 750 ribu,pengeluaran
spend 750 ribu,pengeluaran
1 juta untuk spend motor,pengeluaran
refund 250.000,pemasukan
beli tas 2jt,pengeluaran
top up es kopi 2jt,pengeluaran
dikasih uang 750 ribu dari kerja part-time,pemasukan
freelance transfer masuk 20rb,pemasukan
freelance transfer masuk 5000,pemasukan
top up 5.000.000,pengeluaran
narik uang 50.000,pengeluaran
isi saldo ayam geprek 250.000,pengeluaran
10 ribu buat nasi goreng,pengeluaran
50.000 dari orang tua sebagai pendapatan,pemasukan
keluar duit 10 ribu,pengeluaran
20rb untuk tarik tunai mobil,pengeluaran
membayar 20rb,pengeluaran
bayar motor 100k,pengeluaran
750 ribu buat wifi,pengeluaran
top up parkir 5.000.000,pengeluaran
250.000 dari bos sebagai uang kembali,pemasukan
5.000.000 dari event sebagai menang,pemasukan
habis untuk baju 2jt,pengeluaran
terima 100k,pemasukan
bonus uang 10 ribu dari donatur,pemasukan
kerja part-time terima 50.000,pemasukan
spend 250.000,pengeluaran
menerima 5.000.000,pemasukan
tarik tunai tas 2jt,pengeluaran
duit masuk 5000,pemasukan
menang 50.000,pemasukan
isi saldo 1 juta,pengeluaran
100k buat nasi goreng,pengeluaran
narik uang 1 juta,pengeluaran
duit masuk 5.000.000,pemasukan
donatur uang kembali 50.000,pemasukan
750 ribu dari trading sebagai menjual,pemasukan
membeli 750 ribu,pengeluaran
bonus uang 1 juta dari klien,pemasukan
duit masuk 100k,pemasukan
narik uang mobil 10 ribu,pengeluaran
pendapatan 5000,pemasukan
keluar duit 50.000,pengeluaran
750 ribu dari kerja part-time sebagai hadiah,pemasukan
ongkos 5000,pengeluaran
orang tua pendapatan 50.000,pemasukan
keluar duit 20rb,pengeluaran
250.000 untuk narik uang air,pengeluaran
10 ribu buat handphone,pengeluaran
duit masuk 2jt,pemasukan
50.000 dari toko sebagai menang,pemasukan
narik uang 750 ribu,pengeluaran
duit masuk 5.000.000,pemasukan
20rb buat parkir,pengeluaran
dapat uang 5000 dari event,pemasukan
uang kembali uang 50.000 dari kerja part-time,pemasukan
kirim wifi 100k,pengeluaran
transfer 1 juta,pengeluaran
keluar duit 750 ribu,pengeluaran
keluar uang komputer 750 ribu,pengeluaran
transfer paket data 10 ribu,pengeluaran
duit masuk 50.000,pemasukan
hasil jual uang 100k dari konten youtube,pemasukan
trading menerima 10 ribu,pemasukan
sumbangan 2jt,pengeluaran
250.000 dari teman sebagai menjual,pemasukan
1 juta untuk isi saldo komputer,pengeluaran
duit masuk 2jt,pemasukan
jualan online menerima 20rb,pemasukan
donasi masuk uang 20rb dari orang tua,pemasukan
250.000 buat pulsa,pengeluaran
10 ribu dari proyek sebagai dapat,pemasukan
hasil jual uang 5000 dari investasi,pemasukan
proyek terima 2jt,pemasukan
5000 buat paket data,pengeluaran
duit masuk 1 juta,pemasukan
beli ayam geprek 50.000,pengeluaran
duit masuk 50.000,pemasukan
endorse uang kembali 100k,pemasukan
tarik tunai 2jt,pengeluaran
donasi keluar 20rb,pengeluaran
kirim 750 ribu,pengeluaran
20rb untuk membeli buku,pengeluaran
kirim game online 2jt,pengeluaran
menerima 10 ribu,pemasukan
10 ribu buat nasi goreng,pengeluaran
dikasih uang 750 ribu dari investasi,pemasukan
ongkos 20rb,pengeluaran
duit masuk 5.000.000,pemasukan
duit masuk 250.000,pemasukan
menjual 10 ribu,pemasukan
keluar uang 750 ribu,pengeluaran
transfer masuk uang 5000 dari kerja part-time,pemasukan
keluar duit 1 juta,pengeluaran
spend 2jt,pengeluaran
hasil jual uang 750 ribu dari toko,pemasukan
1 juta dari donatur sebagai menjual,pemasukan
2jt dari toko sebagai ditransfer,pemasukan
duit masuk 100k,pemasukan
duit masuk 50.000,pemasukan
komisi 20rb,pemasukan
100k untuk ongkos pulsa,pengeluaran
pengeluaran handphone 1 juta,pengeluaran
5.000.000 buat tas,pengeluaran
transfer 50.000,pengeluaran
endorse menang 750 ribu,pemasukan
duit masuk 5000,pemasukan
1 juta dari freelance sebagai gaji,pemasukan
menang 1 juta,pemasukan
dikasih 5000,pemasukan
duit masuk 750 ribu,pemasukan
5000 untuk biaya nasi goreng,pengeluaran
keluar duit 5000,pengeluaran
donatur hadiah 250.000,pemasukan
duit masuk 250.000,pemasukan
bonus uang 750 ribu dari endorse,pemasukan
20rb buat pulsa,pengeluaran
jualan online hadiah 5000,pemasukan
sumbangan paket data 5.000.000,pengeluaran
duit masuk 20rb,pemasukan
freelance pendapatan 1 juta,pemasukan
100k untuk pengeluaran motor,pengeluaran
refund uang 100k dari investasi,pemasukan
menerima uang 750 ribu dari proyek,pemasukan
donasi masuk uang 5000 dari proyek,pemasukan
keluar duit 20rb,pengeluaran
narik uang 5.000.000,pengeluaran
keluar duit 1 juta,pengeluaran
transfer air 1 juta,pengeluaran
donasi masuk uang 50.000 dari freelance,pemasukan
event menjual 750 ribu,pemasukan
keluar duit 5000,pengeluaran
isi saldo 5000,pengeluaran
habis untuk baju 10 ribu,pengeluaran
beli 1 juta,pengeluaran
20rb buat pulsa,pengeluaran
transfer pulsa 1 juta,pengeluaran
keluar duit 10 ribu,pengeluaran
50.000 dari freelance sebagai pendapatan,pemasukan
biaya 50.000,pengeluaran
750 ribu dari konten youtube sebagai donasi masuk,pemasukan
dapat 10 ribu,pemasukan
duit masuk 250.000,pemasukan
100k dari event sebagai pendapatan,pemasukan
250.000 dari endorse sebagai hasil jual,pemasukan
2jt buat mobil,pengeluaran
duit masuk 5000,pemasukan
keluar duit 5000,pengeluaran
5.000.000 buat handphone,pengeluaran
donasi masuk uang 2jt dari freelance,pemasukan
transfer paket data 750 ribu,pengeluaran
dapat uang 1 juta dari teman,pemasukan
investasi menang 750 ribu,pemasukan
750 ribu untuk bayar komputer,pengeluaran
duit masuk 2jt,pemasukan
